Date,Open,High,Low,Close,Adj Close,Volume
2000-01-01,6.845802,8.351747,6.175032,7.894702,7.777235,1449554800
2000-02-01,7.812500,9.206650,6.977325,7.542877,7.430645,851916600
2000-03-01,7.782907,13.415404,7.575758,9.259259,9.121488,1536757700
2000-04-01,9.423664,9.877420,6.612348,8.374763,8.250153,1632191300
2000-05-01,8.384627,8.391204,5.760732,6.582755,6.484808,1108851700
2000-06-01,6.747159,8.345170,5.109691,5.714699,5.629669,834712300
2000-07-01,5.681818,6.602483,4.577020,5.260943,5.182664,780264200
2000-08-01,5.267519,7.200915,4.840067,6.523569,6.426504,706201100
2000-09-01,6.628788,8.161037,6.299979,7.227220,7.119685,791464500
2000-10-01,7.365320,7.391624,4.774305,5.418771,5.338144,1056664300
2000-11-01,5.379314,6.201336,3.077652,3.610322,3.556603,953400300
2000-12-01,3.676084,4.721696,2.814604,3.472222,3.420558,809526700
2001-01-01,3.544560,5.800189,2.992161,5.195181,5.117881,1306062500
2001-02-01,5.188605,5.583176,3.879945,4.032841,3.972836,760839800
2001-03-01,3.958859,4.715120,3.281513,3.807607,3.750953,1154355800
2001-04-01,3.814183,5.922770,3.077652,5.311448,5.232418,1303637900
2001-05-01,5.326179,6.997054,5.076810,6.367845,6.273097,1326026400
2001-06-01,6.439394,7.502104,6.243687,7.206439,7.099213,1107105900
2001-07-01,7.219066,7.386364,6.230009,6.583544,6.485585,1110994700
2001-08-01,6.634049,6.954967,5.523990,5.916456,5.828424,1520804100
2001-09-01,5.876473,5.968013,4.259259,4.813763,4.742137,1359704100
2001-10-01,4.661195,6.679293,4.629630,5.521885,5.439724,2366697300
2001-11-01,5.551347,7.206439,5.393518,7.162248,7.055679,1409679900
2001-12-01,7.090699,7.653620,6.656145,7.039141,6.934404,1186687400
2002-01-01,6.880261,7.312710,5.797559,6.210017,6.117617,1256871500
2002-02-01,6.215278,6.389941,5.139941,5.476641,5.395153,1183867600
2002-03-01,5.507155,6.407828,5.495581,5.959596,5.870922,1016300700
2002-04-01,5.882786,6.005892,5.213594,5.587121,5.503989,1339061100
2002-05-01,5.566077,6.178451,5.182029,5.809133,5.722698,1076604600
2002-06-01,5.834385,6.744529,5.566077,6.483586,6.387115,1306715400
2002-07-01,6.422559,6.573022,5.371423,6.006945,5.917566,2646041500
2002-08-01,5.919613,6.522517,5.545033,5.946970,5.858483,1438477600
2002-09-01,5.904882,6.360480,5.515573,5.556608,5.473930,1175054600
2002-10-01,5.589226,6.781355,5.284091,6.654040,6.555034,1969486100
2002-11-01,6.588805,7.417929,6.497264,7.251684,7.143785,1051222200
2002-12-01,7.347433,7.454756,6.954967,7.135943,7.029766,969390900
2003-01-01,7.176978,8.041877,6.739268,7.908249,7.790581,1541022100
2003-02-01,7.921927,8.291245,7.536827,8.251263,8.128489,846133500
2003-03-01,8.259680,9.515993,8.087121,8.976220,8.842662,1376672500
2003-04-01,9.049873,9.995791,8.997264,9.775884,9.630426,1462144800
2003-05-01,9.720118,10.888047,9.694865,10.695497,10.536356,1298641000
2003-06-01,10.726010,11.128999,10.123106,10.942760,10.779941,1315031100
2003-07-01,10.888047,12.401094,10.801767,11.289983,11.121997,1435563700
2003-08-01,11.268939,12.012836,10.494529,11.660354,11.486856,1279626500
2003-09-01,11.862373,12.047559,10.612373,11.287879,11.119925,997257000
2003-10-01,11.264730,12.962963,11.037457,11.769781,11.594656,1162961700
2003-11-01,11.734007,12.325336,10.654461,11.761364,11.586364,736584200
2003-12-01,11.847643,13.636364,11.475168,13.596380,13.394076,736109300
2004-01-01,13.543771,14.663300,13.171296,14.084596,13.875028,850151800
2004-02-01,14.036196,14.730639,13.594276,14.457070,14.241961,509189100
2004-03-01,14.417088,15.159933,13.634259,14.579124,14.362199,766758900
2004-04-01,14.534933,17.834597,14.532828,16.841330,16.590742,912117900
2004-05-01,16.727694,18.895203,16.172138,18.686869,18.408823,818359400
2004-06-01,18.470118,19.808502,17.729378,19.349747,19.061838,811679600
2004-07-01,19.364479,19.398148,15.035774,16.483585,16.238323,1072723000
2004-08-01,16.296297,18.280724,15.271464,18.211279,17.940311,944624800
2004-09-01,18.171297,20.178871,18.063972,19.347643,19.059765,1049514700
2004-10-01,19.486532,21.489899,19.031986,20.545034,20.239340,1109106700
2004-11-01,20.414562,23.876263,20.408249,23.632154,23.280529,921654200
2004-12-01,23.792088,24.920034,23.425926,24.482323,24.118046,756745400
2005-01-01,24.661196,24.783249,16.708754,17.150673,16.895485,2123497900
2005-02-01,17.001263,18.287037,15.765993,18.030304,17.762028,1481405300
2005-03-01,18.034512,18.127104,14.730639,15.681818,15.448485,1003955400
2005-04-01,15.883839,16.308922,12.954545,13.345960,13.147382,1360823700
2005-05-01,13.253367,16.287878,13.207070,15.993266,15.755299,926773700
2005-06-01,16.123737,17.230640,13.817340,13.893098,13.686379,983216300
2005-07-01,14.053030,18.228115,13.783670,17.584175,17.322536,1052658200
2005-08-01,18.068182,18.930977,16.245790,17.041246,16.787685,823202000
2005-09-01,16.978115,17.420034,15.256734,17.340067,17.082060,929582000
2005-10-01,17.319023,17.727272,15.664983,16.670876,16.422825,886809500
2005-11-01,16.460438,20.033670,16.426767,18.859428,18.578814,822378900
2005-12-01,18.939394,19.604378,18.135521,18.190235,17.919579,571111400
2006-01-01,18.396465,20.143097,17.819866,18.139730,17.869823,725063800
2006-02-01,17.891415,18.135521,16.245790,16.860270,16.609402,543466500
2006-03-01,16.822392,17.344276,15.542930,16.414141,16.169910,644607900
2006-04-01,16.536196,17.180134,14.137205,14.482324,14.266838,811532200
2006-05-01,14.528620,14.730639,12.150674,13.808923,13.603456,1321495800
2006-06-01,13.813131,14.061448,11.868687,12.327441,12.144019,794096500
2006-07-01,12.394781,12.407408,9.852694,10.130471,9.979737,1055296800
2006-08-01,10.004209,12.020202,9.608586,11.708755,11.534536,1082142200
2006-09-01,11.725589,12.196970,10.732324,11.936027,11.758428,871563100
2006-10-01,11.952862,14.044613,11.363636,13.522727,13.321520,870474500
2006-11-01,13.547979,14.305555,13.122895,13.611111,13.408588,680883000
2006-12-01,13.813131,13.981482,12.634680,12.655724,12.467415,679326500
2007-01-01,12.777778,14.225589,12.037037,13.632154,13.429318,1243699000
2007-02-01,13.678452,14.457070,12.996633,13.493266,13.292497,686132000
2007-03-01,13.211280,14.170876,12.731482,13.952021,13.744425,768972200
2007-04-01,13.956229,14.903198,13.792088,14.284512,14.071969,795819800
2007-05-01,14.343434,14.894781,13.497475,13.703704,13.499804,679284800
2007-06-01,13.754209,13.771044,12.798821,13.543771,13.342250,717112000
2007-07-01,13.581650,14.562289,13.413300,13.636364,13.433466,870487500
2007-08-01,13.556397,15.757576,13.489058,14.351851,14.138307,872041800
2007-09-01,14.330808,16.641415,14.309764,16.422560,16.178205,586172100
2007-10-01,16.418350,17.142256,14.730639,15.193603,14.967533,904186000
2007-11-01,15.101010,15.143098,13.021886,14.111953,13.901978,880033200
2007-12-01,13.981482,14.781145,13.261785,13.968855,13.761008,522253100
2008-01-01,14.078282,14.111953,10.791245,11.317340,11.148947,1065704800
